startTime,endTime,temperature,shortForecast
2026-07-03 17:00:00-04:00,2026-07-03 18:00:00-04:00,92,Slight Chance Showers And Thunderstorms
2026-07-03 18:00:00-04:00,2026-07-03 19:00:00-04:00,91,Slight Chance Showers And Thunderstorms
2026-07-03 19:00:00-04:00,2026-07-03 20:00:00-04:00,92,Slight Chance Showers And Thunderstorms
2026-07-03 20:00:00-04:00,2026-07-03 21:00:00-04:00,92,Chance Showers And Thunderstorms
2026-07-03 21:00:00-04:00,2026-07-03 22:00:00-04:00,92,Chance Showers And Thunderstorms
2026-07-03 22:00:00-04:00,2026-07-03 23:00:00-04:00,91,Chance Showers And Thunderstorms
2026-07-03 23:00:00-04:00,2026-07-04 00:00:00-04:00,89,Chance Showers And Thunderstorms
2026-07-04 00:00:00-04:00,2026-07-04 01:00:00-04:00,88,Chance Showers And Thunderstorms
2026-07-04 01:00:00-04:00,2026-07-04 02:00:00-04:00,86,Chance Showers And Thunderstorms
2026-07-04 02:00:00-04:00,2026-07-04 03:00:00-04:00,85,Mostly Clear
2026-07-04 03:00:00-04:00,2026-07-04 04:00:00-04:00,84,Mostly Clear
2026-07-04 04:00:00-04:00,2026-07-04 05:00:00-04:00,83,Mostly Clear
2026-07-04 05:00:00-04:00,2026-07-04 06:00:00-04:00,82,Mostly Clear
2026-07-04 06:00:00-04:00,2026-07-04 07:00:00-04:00,82,Sunny
2026-07-04 07:00:00-04:00,2026-07-04 08:00:00-04:00,82,Sunny
2026-07-04 08:00:00-04:00,2026-07-04 09:00:00-04:00,82,Sunny
2026-07-04 09:00:00-04:00,2026-07-04 10:00:00-04:00,82,Sunny
2026-07-04 10:00:00-04:00,2026-07-04 11:00:00-04:00,83,Sunny
2026-07-04 11:00:00-04:00,2026-07-04 12:00:00-04:00,85,Sunny
2026-07-04 12:00:00-04:00,2026-07-04 13:00:00-04:00,86,Sunny
2026-07-04 13:00:00-04:00,2026-07-04 14:00:00-04:00,87,Sunny
2026-07-04 14:00:00-04:00,2026-07-04 15:00:00-04:00,88,Chance Showers And Thunderstorms
2026-07-04 15:00:00-04:00,2026-07-04 16:00:00-04:00,88,Chance Showers And Thunderstorms
2026-07-04 16:00:00-04:00,2026-07-04 17:00:00-04:00,88,Chance Showers And Thunderstorms
2026-07-04 17:00:00-04:00,2026-07-04 18:00:00-04:00,88,Chance Showers And Thunderstorms
2026-07-04 18:00:00-04:00,2026-07-04 19:00:00-04:00,87,Chance Showers And Thunderstorms
2026-07-04 19:00:00-04:00,2026-07-04 20:00:00-04:00,87,Chance Showers And Thunderstorms
2026-07-04 20:00:00-04:00,2026-07-04 21:00:00-04:00,86,Chance Showers And Thunderstorms
2026-07-04 21:00:00-04:00,2026-07-04 22:00:00-04:00,86,Chance Showers And Thunderstorms
2026-07-04 22:00:00-04:00,2026-07-04 23:00:00-04:00,84,Chance Showers And Thunderstorms
2026-07-04 23:00:00-04:00,2026-07-05 00:00:00-04:00,83,Chance Showers And Thunderstorms
2026-07-05 00:00:00-04:00,2026-07-05 01:00:00-04:00,82,Chance Showers And Thunderstorms
2026-07-05 01:00:00-04:00,2026-07-05 02:00:00-04:00,82,Chance Showers And Thunderstorms
