routeId,weather_start,weather_category,total_alerts
B,2017-03-14 02:00:00+00:00,Cloudy/Other,2
B,2018-01-03 20:00:00+00:00,Clear,3
B,2018-01-04 12:00:00+00:00,Snow,1
B,2018-01-04 18:00:00+00:00,Snow,1
B,2018-01-05 08:00:00+00:00,Clear,1
B,2018-03-21 17:00:00+00:00,Snow,1
B,2019-02-12 10:00:00+00:00,Rain,1
B,2019-02-20 18:00:00+00:00,Snow,1
B,2019-02-25 09:00:00+00:00,Clear,1
B,2019-02-25 16:00:00+00:00,Cloudy/Other,1
B,2019-08-13 06:00:00+00:00,Rain,1
B,2019-12-05 06:00:00+00:00,Clear,1
B1,2016-01-24 08:00:00+00:00,Clear,1
B100,2016-01-24 08:00:00+00:00,Clear,1
B103-LTD,2016-01-24 08:00:00+00:00,Clear,1
B11,2016-01-24 08:00:00+00:00,Clear,1
B12,2016-01-24 08:00:00+00:00,Clear,1
B13,2016-01-24 08:00:00+00:00,Clear,1
B14,2016-01-24 08:00:00+00:00,Clear,1
B15,2016-01-24 08:00:00+00:00,Clear,1
B16,2016-01-24 08:00:00+00:00,Clear,1
B17,2016-01-24 08:00:00+00:00,Clear,1
B2,2016-01-24 08:00:00+00:00,Clear,1
B20,2016-01-24 08:00:00+00:00,Clear,1
B24,2016-01-24 08:00:00+00:00,Clear,1
B25,2016-01-24 08:00:00+00:00,Clear,1
B26,2016-01-24 08:00:00+00:00,Clear,1
B3,2016-01-24 08:00:00+00:00,Clear,1
B31,2016-01-24 08:00:00+00:00,Clear,1
B32,2016-01-24 08:00:00+00:00,Clear,1
B35,2016-01-24 08:00:00+00:00,Clear,1
B35-LTD,2016-01-24 08:00:00+00:00,Clear,1
B36,2016-01-24 08:00:00+00:00,Clear,1
B37,2016-01-24 08:00:00+00:00,Clear,1
B38,2016-01-24 08:00:00+00:00,Clear,1
B38-LTD,2016-01-24 08:00:00+00:00,Clear,1
B39,2016-01-24 08:00:00+00:00,Clear,1
B4,2016-01-24 08:00:00+00:00,Clear,1
B41,2016-01-24 08:00:00+00:00,Clear,1
B41-LTD,2016-01-24 08:00:00+00:00,Clear,1
B42,2016-01-24 08:00:00+00:00,Clear,1
B43,2016-01-24 08:00:00+00:00,Clear,1
B44,2016-01-24 08:00:00+00:00,Clear,1
B44+,2016-01-24 08:00:00+00:00,Clear,1
B45,2016-01-24 08:00:00+00:00,Clear,1
B46,2016-01-24 08:00:00+00:00,Clear,1
B46-SBS,2016-01-24 08:00:00+00:00,Clear,1
B47,2016-01-24 08:00:00+00:00,Clear,1
B48,2016-01-24 08:00:00+00:00,Clear,1
B49,2016-01-24 08:00:00+00:00,Clear,1
B49-LTD,2016-01-24 08:00:00+00:00,Clear,1
B52,2016-01-24 08:00:00+00:00,Clear,1
B54,2016-01-24 08:00:00+00:00,Clear,1
B57,2016-01-24 08:00:00+00:00,Clear,1
B6,2016-01-24 08:00:00+00:00,Clear,1
B6-SBS,2016-01-24 08:00:00+00:00,Clear,1
B60,2016-01-24 08:00:00+00:00,Clear,1
B61,2016-01-24 08:00:00+00:00,Clear,1
B62,2016-01-24 08:00:00+00:00,Clear,1
B63,2016-01-24 08:00:00+00:00,Clear,1
B64,2016-01-24 08:00:00+00:00,Clear,1
B65,2016-01-24 08:00:00+00:00,Clear,1
B67,2016-01-24 08:00:00+00:00,Clear,1
B68,2016-01-24 08:00:00+00:00,Clear,1
B69,2016-01-24 08:00:00+00:00,Clear,1
